TumourID	CD8A	CCL5	LAG3	CD27	CD8B	CD3D	ITM2A	CD3E	TIGIT	PDCD1	DUSP2	APOBEC3G	TNFRSF9	NR4A2	HAVCR2	LYST
P29	0.9792492	28.3982272	9.4007924	0	0	0.1958498	4.3086965	3.9169969	3.3294473	0	1.7626486	2.3501981	0	3.5252972	6.8547445	115.3555573
P30	0.72120397	5.94993271	1.86311024	0.12020066	0.12020066	0.72120397	1.14190628	2.1636119	0.42070231	0.12020066	1.68280925	6.911538	0.06010033	45.49595014	2.64441454	204.2209228
P31	1.41059287	3.49581712	1.34926275	1.2266025	0.42931087	2.39187487	2.69852549	4.47709911	1.471923	0.2453205	0.61330125	6.56232336	0.36798075	2.57586524	8.1569066	96.34962614
P32	1.7654639	4.9432988	3.177835	2.1185566	0.3530928	0.7061855	5.2963916	2.4716494	1.0592783	1.4123711	1.4123711	10.5927832	0	6.0025771	9.5335049	60.3788641
P33	2.44720708	6.61652284	2.12997653	0.72509839	0.40786785	0.49850515	18.4446904	1.94870193	1.81274598	0.81573569	1.31424084	4.12399712	2.76443763	7.06970934	10.24201481	78.85445034
P34	0	3.9870987	1.1961296	0	0	0.3987099	0	0.3987099	1.1961296	0	12.3600059	4.3858086	0	60.6039	27.9096908	43.4593757
P35	2.02263158	4.20707369	1.45629474	0.40452632	0.48543158	1.61810527	1.05176842	2.83168422	1.37538948	0.16181053	0.8899579	3.55983159	0.32362105	14.15842108	4.8543158	56.06734749
P36	1.46099626	2.57135342	2.16227446	0.29219925	0	2.57135342	1.34411656	2.74667297	2.10383461	0.52595865	0.40907895	4.73362788	1.05191731	1.05191731	2.10383461	134.7038551
P37	0.81172694	3.91104799	0.51655351	0.59034687	0.07379336	0.44276015	1.91862731	3.02552769	0.8855203	0.44276015	1.25448709	1.54966052	0.36896679	2.43518082	1.84483396	199.7586208
P38	8.69275525	16.22647647	6.76103186	5.40882549	4.4429638	4.24979146	2.89758508	7.09908346	13.03913288	3.96003295	2.46294732	11.397168	6.9542042	3.62198136	8.11323824	142.5128931
P39	2.86627052	3.92956443	1.20198441	0.60099221	0	0.78591289	0.92460339	1.5255956	1.0632939	0.32361119	0.4623017	3.65218341	0.27738102	1.71051628	3.23611188	174.1028192
